Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C3-B: Real + Synth 2:1,Logistic Regression,0.6,0.10714285714285714,0.5408163265306123,0.17885264341957255,159,1325,135,4513,0.22696128811236724
C3-B: Real + Synth 2:1,Logistic Regression,0.65,0.11152073732718894,0.41156462585034015,0.1754894851341552,121,964,173,4874,0.16512504282288454
C3-B: Real + Synth 2:1,Logistic Regression,0.7,0.10689170182841069,0.2585034013605442,0.15124378109452735,76,635,218,5203,0.10877012675573827
C3-B: Real + Synth 2:1,Logistic Regression,0.75,0.12219451371571072,0.16666666666666666,0.1410071942446043,49,352,245,5486,0.06029462144570058
C3-B: Real + Synth 2:1,Logistic Regression,0.8,0.10493827160493827,0.05782312925170068,0.07456140350877193,17,145,277,5693,0.024837273038711888
C3-B: Real + Synth 2:1,Logistic Regression,0.85,0.06896551724137931,0.013605442176870748,0.022727272727272728,4,54,290,5784,0.009249743062692703
C3-B: Real + Synth 2:1,Logistic Regression,0.9,0.0,0.0,0.0,0,5,294,5833,0.0008564576909900651
C3-B: Real + Synth 2:1,XGBoost,0.1,0.10034013605442177,0.4013605442176871,0.16054421768707483,118,1058,176,4780,0.18122644741349778
C3-B: Real + Synth 2:1,XGBoost,0.15,0.09879253567508232,0.30612244897959184,0.14937759336099585,90,821,204,5017,0.14063035286056869
C3-B: Real + Synth 2:1,XGBoost,0.2,0.10354223433242507,0.2585034013605442,0.14785992217898833,76,658,218,5180,0.11270983213429256
C3-B: Real + Synth 2:1,XGBoost,0.25,0.11201298701298701,0.23469387755102042,0.15164835164835164,69,547,225,5291,0.09369647139431313
C3-B: Real + Synth 2:1,XGBoost,0.3,0.11946050096339114,0.2108843537414966,0.15252152521525214,62,457,232,5381,0.07828023295649195
C3-B: Real + Synth 2:1,XGBoost,0.35,0.12280701754385964,0.19047619047619047,0.14933333333333335,56,400,238,5438,0.0685166152792052
