Experiment,Model,Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
C3-C: Real + Synth 4:1,XGBoost,1,0.9197651663405088,0.05263157894736842,0.041666666666666664,0.046511627906976744,0.6770619438740589,0.08155800340011192
C3-C: Real + Synth 4:1,XGBoost,2,0.9275929549902152,0.23404255319148937,0.22448979591836735,0.22916666666666666,0.7898986932902656,0.1676940620870109
C3-C: Real + Synth 4:1,XGBoost,3,0.9178082191780822,0.1111111111111111,0.10204081632653061,0.10638297872340426,0.7356587033580133,0.10514841580114681
C3-C: Real + Synth 4:1,XGBoost,4,0.9256360078277887,0.06451612903225806,0.04081632653061224,0.05,0.6772867420349435,0.0865333228004827
C3-C: Real + Synth 4:1,XGBoost,5,0.9334637964774951,0.1935483870967742,0.12244897959183673,0.15,0.7519348952325021,0.1185913737522454
C3-C: Real + Synth 4:1,LightGBM,1,0.9021526418786693,0.12857142857142856,0.1875,0.15254237288135594,0.7284608145106092,0.0988112597462781
C3-C: Real + Synth 4:1,LightGBM,2,0.898238747553816,0.19101123595505617,0.3469387755102041,0.2463768115942029,0.8245275499716844,0.16970318162207923
C3-C: Real + Synth 4:1,LightGBM,3,0.8943248532289628,0.13580246913580246,0.22448979591836735,0.16923076923076924,0.8094888520670345,0.1290576620869146
C3-C: Real + Synth 4:1,LightGBM,4,0.9090019569471625,0.15625,0.20408163265306123,0.17699115044247787,0.7036516559347273,0.10757404573338795
C3-C: Real + Synth 4:1,LightGBM,5,0.9119373776908023,0.1746031746031746,0.22448979591836735,0.19642857142857142,0.7707909474169936,0.12557732776315045
C3-C: Real + Synth 4:1,CatBoost,1,0.8884540117416829,0.10714285714285714,0.1875,0.13636363636363635,0.7292094455852156,0.10038280850314388
C3-C: Real + Synth 4:1,CatBoost,2,0.8923679060665362,0.17894736842105263,0.3469387755102041,0.2361111111111111,0.7594018079996644,0.15167097500731824
C3-C: Real + Synth 4:1,CatBoost,3,0.8874755381604696,0.14893617021276595,0.2857142857142857,0.1958041958041958,0.7885563269501018,0.1273403717609917
C3-C: Real + Synth 4:1,CatBoost,4,0.8776908023483366,0.07777777777777778,0.14285714285714285,0.10071942446043165,0.7233466870818215,0.12203148793484073
C3-C: Real + Synth 4:1,CatBoost,5,0.8884540117416829,0.14285714285714285,0.2653061224489796,0.18571428571428572,0.7364557333724857,0.11991401306524642
